OTUID	All	D	H	I
ASV_542	0.019896	0.01706956	0.02086823	0.01833349
ASV_350	0.020479	0.003991749	0.024380836	0.020003241
ASV_334	0.018064	0.010370149	0.022451335	0.005332293
ASV_719	0.025105	0.006114197	0.033987089	0.003171637
ASV_760	0.015346	0.012713977	0.003257358	0.077237942
ASV_747	0.019857	0.0005504859	0.0281948255	0.0009282224
ASV_823	0.016883	0.01840644	0.01173731	0.04025658
ASV_465	0.018116	0.02219987	0.01898351	0.00929000
ASV_743	0.018751	0.005133302	0.020833546	0.023915567
ASV_352	0.018194	0.028348141	0.019316743	0.001295395
ASV_172	0.019153	0.002733813	0.014436284	0.060616721
ASV_431	0.021184	0.01103192	0.01304722	0.07227123
ASV_466	0.019369	0.016213036	0.022138908	0.009416325
ASV_432	0.022285	0.005840716	0.024895813	0.028059538
ASV_806	0.020427	0.001264614	0.028264362	0.003780254
ASV_359	0.018489	0.01588487	0.01772942	0.02512111
ASV_80	0.01642	0.0009670946	0.0228960325	0.0022304895
ASV_1014	0.018385	0.0001824814	0.0263572354	0.0000000000
ASV_1042	0.016519	0.010212914	0.021017778	0.001681059
ASV_619	0.021974	0.007524213	0.026028581	0.018467343
ASV_803	0.017162	0.00000000	0.01291939	0.05715456
ASV_531	0.019303	0.003305734	0.024084895	0.013984854
ASV_472	0.01683	0.005138087	0.021752868	0.005986689
ASV_345	0.01666	0.0449326332	0.0134756807	0.0003771934
ASV_711	0.01991	0.024171144	0.005078818	0.087418740
ASV_464	0.015215	0.009247265	0.008901189	0.052705877
ASV_1166	0.018912	0.00000000	0.02715619	0.00000000
ASV_501	0.019784	0.001955771	0.027656472	0.001463435
ASV_562	0.019008	0.01847055	0.02052626	0.01221142
ASV_622	0.016624	0.016254470	0.019147239	0.004736475
ASV_306	0.017513	0.01129036	0.01650962	0.02940169
ASV_879	0.016178	0.043894499	0.011337240	0.008598293
ASV_698	0.016066	0.009949415	0.014504995	0.030559634
ASV_584	0.017924	0.01038588	0.01860398	0.02308975
ASV_980	0.021526	0.0003260117	0.0256129437	0.0254541205
ASV_1024	0.015921	0.007638328	0.017167188	0.019166859
ASV_495	0.018333	0.016616431	0.021226693	0.006158032
ASV_201	0.020038	0.02046567	0.01873463	0.02591133
ASV_538	0.0144	0.009655477	0.010902965	0.036783291
